valCount,collisions
280,98
281,99
282,100
283,100
284,100
285,101
286,102
287,102
288,103
289,103
290,103
291,103
292,103
293,103
294,103
295,104
296,104
297,104
298,105
299,105
300,105
301,106
302,106
303,106
304,107
305,107
306,108
307,108
308,108
309,109
310,110
311,111
312,112
313,113
314,114
315,114
316,114
317,115
318,115
319,116
320,117
321,117
322,117
323,117
324,117
325,118
326,119
327,119
328,120
329,120
330,120
331,121
332,121
333,121
334,122
335,122
336,122
337,122
338,122
339,122
340,122
341,123
342,123
343,123
344,123
345,123
346,124
347,125
348,125
349,125
350,125
351,125
352,125
353,125
354,125
355,126
356,126
357,126
358,126
359,126
360,126
361,126
362,126
363,127
364,127
365,127
366,127
367,127
368,127
369,127
370,127
371,127
372,128
373,129
374,129
375,129
376,130
377,130
378,131
379,132
380,133
381,134
382,134
383,135
384,135
385,135
386,135
387,135
388,135
389,136
390,137
391,137
392,137
393,137
394,137
395,137
396,137
397,137
398,138
399,139
400,139
401,139
402,139
403,140
404,140
405,140
406,140
407,141
408,141
409,141
410,142
411,142
412,142
413,142
414,142
415,142
416,142
417,143
418,144
419,144
420,144
421,144
422,144
423,145
424,146
425,146
426,147
427,147
428,147
429,147
430,147
431,147
432,147
433,147
434,148
435,148
436,149
437,149
438,149
439,150
440,150
441,151
442,151
443,152
444,152
445,152
446,153
447,154
448,155
449,155
450,155
451,155
452,155
453,155
454,156
455,156
456,156
457,156
458,156
459,156
460,157
461,158
462,159
463,159
464,159
465,160
466,160
467,161
468,161
469,162
470,162
471,162
472,163
473,164
474,164
475,164
476,164
477,164
478,164
479,164
480,164
481,165
482,166
483,166
484,166
485,167
486,168
487,168
488,169
489,170
490,171
491,172
492,172
493,172
494,173
495,173
496,173
497,173
498,174
499,175
500,175
501,175
502,175
503,176
504,176
505,176
506,176
507,176
508,176
509,176
510,177
511,177
512,177
513,177
514,177
515,178
516,178
517,179
518,180
519,180
520,180
521,180
522,180
523,180
524,181
525,181
526,181
527,182
528,183
529,183
530,183
531,184
532,185
533,185
534,185
535,186
536,186
537,186
538,186
539,186
540,186
541,186
542,186
543,186
544,187
545,187
546,188
547,189
548,190
549,191
550,192
551,193
552,193
553,194
554,195
555,195
556,195
557,195
558,195
559,196
560,197
561,198
562,199
563,200
564,201
565,201
566,201
567,201
568,201
569,201
570,201
571,201
572,201
573,202
574,202
575,202
576,202
577,203
578,204
579,204
580,204
581,204
582,204
583,204
584,205
585,205
586,205
587,206
588,207
589,207
590,207
591,207
592,207
593,208
594,208
595,209
596,210
597,211
598,211
599,211
600,212
601,213
602,213
603,213
604,213
605,213
606,213
607,213
608,214
609,215
610,215
611,215
612,215
613,215
614,215
615,216
616,216
617,216
618,216
619,217
620,218
621,219
622,220
623,220
624,220
625,220
626,220
627,220
628,220
629,220
630,221
631,221
632,222
633,223
634,224
635,224
636,225
637,226
638,227
639,228
640,228
641,229
642,230
643,230
644,231
645,231
646,231
647,231
648,231
649,231
650,232
651,232
652,233
653,233
654,233
655,233
656,233
657,234
658,234
659,234
660,234
661,235
662,236
663,236
664,237
665,237
666,238
667,239
668,240
669,240
670,240
671,240
672,240
673,240
674,241
675,241
676,241
677,241
678,241
679,241
680,242
681,242
682,242
683,243
684,244
685,244
686,245
687,246
688,246
689,246
690,246
691,246
692,246
693,247
694,247
695,247
696,248
697,248
698,249
699,250
700,250
701,250
702,250
703,250
704,251
705,251
706,252
707,253
708,253
709,253
710,254
711,254
712,255
713,256
714,257
715,257
716,258
717,259
718,259
719,259
720,259
721,259
722,260
723,260
724,261
725,261
726,262
727,262
728,263
729,264
730,265
731,266
732,267
733,268
734,268
735,268
736,268
737,269
738,269
739,269
740,270
741,271
742,272
743,273
744,273
745,274
746,274
747,274
748,275
749,276
750,277
751,278
752,278
753,278
754,278
755,278
756,278
757,278
758,278
759,279
760,280
761,280
762,280
763,280
764,280
765,280
766,281
767,281
768,281
769,281
770,281
771,281
772,281
773,282
774,282
775,282
776,282
777,283
778,284
779,285
780,285
781,285
782,285
783,285
784,285
785,286
786,286
787,286
788,286
789,287
790,287
791,287
792,288
793,289
794,289
795,289
796,290
797,290
798,291
799,292
800,293
801,294
802,295
803,295
804,295
805,296
806,297
807,298
808,298
809,298
810,298
811,298
812,299
813,299
814,299
815,299
816,300
817,301
818,301
819,301
820,301
821,301
822,301
823,302
824,303
825,304
826,305
827,305
828,305
829,305
830,306
831,306
832,307
833,307
834,307
835,308
836,309
837,310
838,311
839,311
840,311
841,312
842,312
843,312
844,312
845,313
846,314
847,314
848,314
849,315
850,316
851,316
852,317
853,318
854,319
855,319
856,319
857,319
858,319
859,320
860,320
861,320
862,320
863,320
864,320
865,320
866,320
867,320
868,320
869,321
870,322
871,322
872,322
873,322
874,322
875,322
876,322
877,322
878,322
879,323
880,323
881,323
882,324
883,325
884,325
885,325
886,326
887,326
888,326
889,327
890,327
891,327
892,327
893,327
894,327
895,327
896,328
897,328
898,328
899,329
900,330
901,331
902,331
903,332
904,332
905,333
906,333
907,333
908,334
909,335
910,336
911,336
912,337
913,337
914,337
915,337
916,338
917,339
918,339
919,339
920,339
921,339
922,339
923,339
924,339
925,340
926,340
927,341
928,342
929,342
930,343
931,343
932,343
933,343
934,343
935,343
936,343
937,344
938,344
939,344
940,345
941,345
942,345
943,346
944,346
945,347
946,347
947,348
948,349
949,349
950,349
951,350
952,350
953,350
954,350
955,350
956,351
957,351
958,351
959,351
960,351
961,352
962,352
963,352
964,353
965,353
966,353
967,354
968,355
969,356
970,356
971,357
972,357
973,357
974,357
975,358
976,359
977,359
978,359
979,359
980,359
981,360
982,361
983,361
984,362
985,362
986,363
987,363
988,363
989,364
990,365
991,365
992,365
993,365
994,366
995,366
996,367
997,367
998,368
999,369
1000,369
1001,370
1002,371
1003,371
1004,372
1005,372
1006,373
1007,373
1008,374
1009,374
1010,375
1011,375
1012,376
1013,376
1014,376
1015,377
1016,377
1017,378
1018,379
1019,379
1020,380
1021,381
1022,381
1023,381
1024,381
1025,381
1026,382
1027,382
1028,382
1029,383
1030,383
1031,383
1032,383
1033,383
1034,384
1035,385
1036,386
1037,386
1038,386
1039,386
1040,386
1041,387
1042,387
1043,387
1044,387
1045,387
1046,387
1047,387
1048,387
1049,387
1050,388
1051,389
1052,390
1053,390
1054,390
1055,390
1056,391
1057,391
1058,392
1059,392
1060,393
1061,394
1062,394
1063,394
1064,394
1065,394
1066,395
1067,396
1068,396
1069,397
1070,398
1071,398
1072,398
1073,398
1074,399
1075,400
1076,401
1077,402
1078,402
1079,402
1080,402
1081,402
1082,402
1083,403
1084,404
1085,404
1086,405
1087,405
1088,406
1089,406
1090,407
1091,407
1092,407
1093,408
1094,409
1095,410
1096,410
1097,411
1098,411
1099,411
1100,412
1101,413
1102,414
1103,415
1104,416
1105,416
1106,416
1107,416
1108,417
1109,418
1110,419
1111,419
1112,419
1113,420
1114,420
1115,421
1116,422
1117,422
1118,422
1119,422
1120,422
1121,423
1122,423
1123,423
1124,423
1125,424
1126,424
1127,424
1128,424
1129,425
1130,425
1131,426
1132,426
1133,427
1134,427
1135,427
1136,427
1137,428
1138,428
1139,429
1140,429
1141,430
1142,431
1143,432
1144,433
1145,434
1146,435
1147,435
1148,436
1149,437
1150,437
1151,438
1152,439
1153,440
1154,440
